"Tuli, turn on the TV Turn on the light. Bip  Churi, what is the weather for tomorrow? Huh? ",1
"Even though its an unmanned hotel, its just check-in and check-out, and an unmanned convenience store, so its far from a robot hotel. …",3.2
"5 stars. Its very suitable for families with young children, and everything has good taste (I interpret the name strange hotel as aiming for impact rather than taste lol) Even if there are steps, its tatami mats, so you dont have to worry if your child has trouble sleeping. The equipment is minimal but of good quality. We will use strange hotels all over the country! I like it! ! ! 😆",5
"A clean and spacious business hotel next to Huis Ten Bosch. I wrote in hopes of future improvement, and when I checked in at 3 oclock, the room was not cleaned. Neither the unmanned convenience store nor the unmanned bar could be operated without reading the manual, which was rather inconvenient. Breakfast was delicious, but it was negative that the staff did not get dressed.",1
"A convenient hotel close to Huis Ten Bosch. As for the room Room cleaning was the worst. The floor is littered with sand and hair, and the space for luggage is also dusty. There are futons on the floor, so I dont think its a good idea for those who are fastidious.",1
A fashionable hotel for robots. Innovative concept! I want to go again♪,5
"A hotel run by a robot. Certainly it sounds strange, but in the modern age of computer technology, I was shocked that it was not impossible. In the near future, if you think that the hotel will shift to the robot gradually, it will be horrible.",5
A hotel that can be used as a story because it is just a strange hotel. The room is clean and nice.,4
"A hotel where self-check-in with an inconvenient system is boring. The parking lot near the hotel cannot be used for free, and only the distant parking lot that must use the shuttle bus can be used. I had heard in advance that there was a park ticket discount for hotel guests, but when I asked about it locally, I was surprised to be told to line up at the gate and buy a ticket at the regular price like a day trip user. Even an untrained eye can see that the homepage is not well managed because it is difficult to find necessary information and old information remains. It is also convincing that HIS gave up rebuilding and sold it.",1
A hotel with an interesting concept. I want another impact.,4
A hotel with cheap rooms and services that are not worth the price. You can hear the voices of the customers passing through the hallway and the sounds on the upper floor and next door. The small size of the TV was reluctantly installed in a place where you cant see it well unless you sit on the bed or stand on your knees. It was a disappointing hotel as I had high expectations.,1
"A little pricey, but good for kids",2
a little weird,5
A lot of things were paid and expensive.,3
A modern and beautiful hotel. Thank you for separate bath and toilet. I do not recommend coming to people who are not good at machines. It is a negative point that the toilet smells when entering the restaurant.,3
"A place visited from outside the prefecture for the fireworks display. I would like to come again with my friend next time. I had a problem with the restroom (Im a girl). There was no excuse me. I dont understand why its bad. As soon as I asked Mr. Nikko, who was a few meters ahead, he said, Please, please. I will be staying at Nikko next year. Traveling is about connecting with what kind of people, when, and in what situations... this is also a memory. It was very disappointing.",1
A place where you can enjoy the rarity that is not found in ordinary hotels,3
"A quiet two-story hotel. Amenities were nice It is difficult to use the remote control of the proof subtly I wanted a glass cup instead of just a mug The TV is difficult to see, so I would like it to be in the front.",4
"A robot was in charge of the reception, and a human was mowing the lawn in the garden. I thought that the time when human labor would be replaced by AI and robots might not be too far off.",5
"A robot will guide you, but I had a hard time understanding the explanation of how to use the card key. The room is a normal business hotel and you have to walk outside to the dining area, so if it rains it will be difficult.",2
"A robot will help you at the front desk. interesting. If you use the Huis Ten Bosch parking lot, there is no parking fee, but it may be far from the hotel. Robots will respond, but employees are at the front desk, so you dont have to worry if you have any questions.",4
"A simple hotel surrounded by modern facilities and design. Check-in and check-out were also simple with machines, rational and stress-free.",5
"A small robot greets you with an orchestra at the entrance. Check-in and check-out are done by lifelike women and dinosaur robots. The room is unlocked by face recognition. Only the reception is exciting with a unique atmosphere, but the room in particular is unchanged.",3
A strange hotel where a robot welcomes you! I want you to experience it once,4
"A very comfortable hotel! It has its own parking lot and is very close to Huis Ten Bosch. The restaurant for breakfast in the hotel is healthy and delicious. The room is clean and comfortable, the bathroom is very comfortable, there is a terrace, quiet, very satisfied!",5
"A very novel hotel, allowing everyone to foresee the possibility of the future. And its easy to get to Gauttens. The breakfast is also simple and delicious!",5
"① The building and equipment were new and beautiful ② Check-in and check-out were done by the robot at the front of the hotel, and I thought it was smart and smooth, but it took quite a while. ③ Dinner was a place where I walked in Huis Ten Bosch for about 10 minutes from the accommodation. * There are some other minor troubles, so I think that this hotel will be excluded from the options next time.",3
"①Official hotel of Huis Ten Bosch ②Topic of strange hotel Thats why I thought it was this price without meals. A beautiful, clean and fun hotel. I feel that it is expensive if the ①② element is not necessary. I chose an inn based only on the 2 factors... I felt that it was a little expensive. I enjoyed the check-in event. Good result.",3
因想觀賞豪斯登堡夜景，加上晚上交通不便，所以只可在園內住一天，地點在豪斯登堡外圍，如果座JR都需要步行大約12-20分鐘，酒店內部地方非常整潔，雖然說全機械，但都會有工作人員幫忙，行10分鐘有便利店(但留意關門時間) …,3.2
典雅 (Translated by Google) elegant,3
很有趣！ (Translated by Google) very funny!,4
幾乎都是用機器完成交易，不過大廳旁的販賣間，結帳感應不是很好，感應很久，還是沒辨識到。 很有趣的體驗。 (Translated by Google) …,4
平房酒店只有两層！环境也很舒服！房間不大！ (Translated by Google) The bungalow hotel is only two floors! The environment is also very comfortable! The room is not big!,4
"Access about 20 minutes on foot from JR Haus Tenbos Station. I will walk a little. A shuttle bus runs from the Hotel Baggage Storage in Huis Ten Bosch. If you use the strange hotel guest re-entry gate, you can enter the park without walking to the entry (welcome gate). The word strange, which is the origin of a strange hotel, means change and means continuing to change. You can enjoy a comfortable hotel life at a hotel that has introduced advanced technology. The store was closed due to the application of Priority Measures for Prevention of Spread (January 21st to March 6th, 2022) in Nagasaki Prefecture. This seems to be a measure in anticipation of a decrease in tourists.",5
滿新奇的酒店早餐很棒，是個以養生食材為主的自助餐 (Translated by Google) …,5
有趣體匳，接待處全自助化，當然有問題時會有客務協助。小孩喜歡，因房內也有機械人仔，可作智能開關電源。唯自駕車要留意，如何在豪斯登堡泊車出入。 (Translated by Google) …,4.5
After all it is a strange place 🤮🤮🤮 It did not suit me‼ ️It seems that other families were having fun! ️,2
After all it was strange hotel!,3
After all we think that it is strange hotel.,4
"After all, it is inconvenient if people do not respond. I was in trouble because my hotel room key was broken. I thought I needed someone. Good for training small children. If I do something bad, Ill go to the dinosaur~ (laughs)",3
